id,spell,pos,meaning
83,earn,動詞,＜金＞をもうける、かせぐ
84,decline,動詞,"衰退する、低下する
～を辞退する"
85,afford,動詞,～をする余裕がある
86,confuse,動詞,"＜人＞を当惑させる
～を混同する"
87,graduate,動詞,Aを卒業する
88,vary,動詞,変わる、さまざまである
89,remove,動詞,～を移す、取り去る
90,insist,動詞,"～と（強く）主張する
言い張る"
91,examine,動詞,～を調査する
92,remind,動詞,AにBのことを思い出させる
93,contribute,動詞,"Aに貢献する
Aの一因となる、AをBに寄付する"
94,warn,動詞,＜人＞に警告する
95,connect,動詞,～をつなぐ
96,match,動詞,～に匹敵する、～に調和する
97,focus,動詞,焦点を合わせる
98,reject,動詞,＜提案など＞を断る
99,convince,動詞,＜人＞を納得させる、確信させる
100,associate,動詞,"AをBに関連付ける
AからBを連想する"
101,rush,動詞,急いでいく
102,stress,動詞,～を強調する
103,attract,動詞,＜人・注意＞を引きつける
104,rely,動詞,Aに頼る
105,regret,動詞,～を後悔する
106,adopt,動詞,＜理論・技術など＞を採用する
107,shake,動詞,～を振る
108,hurt,動詞,～を傷つける
109,operate,動詞,"＜機械などが＞作動する
＜機械など＞を操作する
手術する"
110,extend,動詞,～を広げる、延長する
111,blame,動詞,～を非難する、～のせいにする
112,consist,動詞,Aで構成されている
113,persuade,動詞,～を説得する
114,admire,動詞,～に感心する
115,disappoint,動詞,～を失望させる
116,expand,動詞,（～を）拡大する
117,preserve,動詞,"～を保護する
～を保つ"
118,struggle,動詞,"苦闘する
もがく"
119,arrange,動詞,"＜会合など＞の手はずを整える
～を配列する"
120,disturb,動詞,＜人・仕事＞を妨げる
121,employ,動詞,"～を雇う
＜方法・言葉など＞を用いる"
122,engage,動詞,"A（活動・仕事など）に従事する
Aを行う"
123,abandon,動詞,～を捨てる
124,display,動詞,"～を展示する
～をあらわす"
125,encounter,動詞,～に偶然出会う
126,amuse,動詞,～を楽しませる
127,bother,動詞,"＜人＞に面倒をかける、困らせる
（～を）気にする"
128,concentrate,動詞,集中する
129,adapt,動詞,"～を適応させる
適応する"
130,puzzle,動詞,～を当惑させる
131,appeal,動詞,"A＜理性・感情など＞に訴える
＜人＞を引きつける"
132,combine,動詞,～を統合させる
133,delay,動詞,～を遅らせる
134,repair,動詞,～を修理する
135,fascinate,動詞,＜人＞を夢中にさせる
136,pardon,動詞,～を許す
137,import,動詞,～を輸入する
138,remark,動詞,〈～と〉述べる
139,reserve,動詞,～を予約する、～を取っておく
140,amaze,動詞,～を驚嘆させる
141,frighten,動詞,＜人＞を怯えさせる
142,release,動詞,"～を解放する
～を発表する
＜ガスなど＞を放出する"
143,rent,動詞,＜家・車など＞を賃借りする
144,recover,動詞,A（病気など）から回復する
145,suspect,動詞,"～ではないかと思う
＜人・もの＞を疑う"
146,deliver,動詞,"～を配達する、渡す
＜講義など＞をする"
147,identify,動詞,"～の正体をつきとめる
Aと共感する"
148,locate,動詞,（Aに）位置する
149,manufacture,動詞,～を製造する
150,occupy,動詞,＜場所・地位など＞を占める
151,own,動詞,～を所有している
152,expose,動詞,AをBにさらす
153,translate,動詞,～を翻訳する
154,cure,動詞,～を治療する
155,perceive,動詞,～を知覚する
156,adjust,動詞,"＜環境に＞慣れる
調整して合わせる"
157,alarm,動詞,～をぎょっとさせる、怯えさせる
158,assist,動詞,（～を）助ける、手伝う
159,freeze,動詞,凍り付く
160,spoil,動詞,～を台無しにする
161,shift,動詞,～を変える
162,embarrass,動詞,"～を困惑させる
～に恥ずかしい思いをさせる"
163,approve,動詞,"賛成する
～を承認する"
164,weigh,動詞,"～の正体をつきとめる
～の重さがある
～を比較検討する、よく考える"
165,stretch,動詞,～を広げる
166,participate,動詞,Aに参加する
167,exhibit,動詞,～を展示する
168,owe,動詞,AのことはBのおかげだ
169,celebrate,動詞,＜特定の日・できごと＞を祝う
170,decorate,動詞,～を装飾する
171,forgive,動詞,＜過ち・人＞を許す
172,seat,動詞,座っている
173,injure,動詞,～を傷つける
174,sew,動詞,～を縫う
175,result,名詞,結果
176,feature,名詞,特徴
177,society,名詞,"社会
協会、団体、学会"
178,wheel,名詞,"車輪
（自動車の）ハンドル"
179,value,名詞,価値
180,effect,名詞,"効果、影響
結果"
181,individual,名詞,個人
182,influence,名詞,影響（力）
183,fee,名詞,謝礼、料金
184,rate,名詞,"割合
速度
～を評価する"
185,sign,名詞,印、兆候
186,service,名詞,"（公益）事業
業務"
187,advance,名詞,前進、進歩
188,laughter,形容詞,笑い
189,material,名詞,物質
190,industry,名詞,工業
191,attempt,動詞,試み
192,trade,名詞,貿易
193,progress,名詞,進歩、前進
194,excuse,動詞,言い訳
195,custom,形容詞,"（社会的な）習慣
税関"
196,passage,名詞,"一節
（時の）経過
通行"
197,economy,名詞,経済
198,track,名詞,小道、足跡
199,transportation,名詞,交通機関、輸送
200,official,名詞,役人
201,sight,名詞,"見ること
光景
視力"
202,taste,名詞,"味
好み"
203,range,名詞,範囲
204,appointment,名詞,約束、予約
205,patient,形容詞,患者、忍耐強い
206,project,名詞,計画
207,favor,名詞,好意
208,appearance,名詞,"外見、様子
出現"
209,risk,名詞,危険
210,benefit,名詞,利益
211,resident,名詞,住民
212,relative,名詞,親族、親戚
213,region,名詞,地域
214,characteristic,名詞,特徴
215,pain,名詞,苦痛
216,twin,動詞,双子の一方、双生児
217,occasion,名詞,場合
218,principle,名詞,原理、原則
219,department,名詞,"（組織の）部門
（大学などの）学科"
220,duty,名詞,"義務
関税"
221,scene,名詞,"場面、現場
眺め、光景"
222,jam,名詞,渋滞
223,spirit,名詞,精神
224,medium,名詞,手段
225,mass,名詞,"一般大衆
多くのA"
226,audience,名詞,（集合的に）聴衆、観客
227,element,名詞,"要素
元素"
228,climate,名詞,気候
229,revolution,名詞,"革命
回転"
230,quarter,名詞,４分の１
231,furniture,名詞,家具
232,brain,名詞,脳
233,atmosphere,名詞,"大気
雰囲気"
234,property,名詞,財産
235,reward,名詞,"報酬
～に報いる"
236,security,名詞,安全
237,delight,動詞,大喜び
238,desert,名詞,砂漠
239,background,名詞,"背景
生い立ち、経歴"
240,trend,名詞,傾向
241,vote,名詞,投票
242,impact,名詞,"影響
衝撃"
243,institution,名詞,"機関
制度"
244,interaction,名詞,＜人と人の＞交流
245,alternative,名詞,代わりのもの
246,harm,名詞,害
247,agency,名詞,"（政治的）機関
代理店"
248,capacity,名詞,"能力
収容力"
249,minister,名詞,大臣
250,volunteer,名詞,ボランティア
251,access,動詞,利用する権利
252,quantity,名詞,量
253,branch,名詞,"枝
支店、支局
（学問の）部門、分野"
254,common,形容詞,"共通の
普通の"
255,rough,形容詞,"荒い；手荒い
大雑把な"
256,likely,形容詞,ありそうな、～する可能性が高い
257,serious,形容詞,深刻な
258,particular,形容詞,ある特定の；特有の
259,available,動詞,手に入る、利用できる
260,bilingual,名詞,二言語使用の
261,ready,形容詞,"用意ができた
進んでVする"
262,correct,形容詞,正しい
263,familiar,動詞,"＜人が＞熟知している
詳しい
よく知られた"
264,physical,形容詞,"身体の、肉体の
物理的な"
265,worth,動詞,Aの価値がある
266,involved,動詞,Aに関係している、参加している
267,fantastic,形容詞,素晴らしい
268,private,形容詞,個人の；私的な
269,obvious,形容詞,明白な
270,native,形容詞,母国の
271,complex,形容詞,複雑な
272,willing,動詞,"Vする気がある
Vしてもかまわない"
273,current,形容詞,最新の
274,male,名詞,男の
275,proper,形容詞,適切な
276,capable,形容詞,～する能力がある
277,independent,形容詞,独立した
278,positive,形容詞,積極的な
279,pleasant,形容詞,＜人にとって＞楽しい
280,significant,形容詞,重要な
281,former,名詞,前の
282,chemical,形容詞,化学的な
283,upset,動詞,＜人が＞動揺している
284,previous,形容詞,＜時間・順序で＞前の
285,calm,形容詞,冷静な
286,specific,形容詞,"特定の
明確な"
287,conscious,形容詞,意識している
288,superior,動詞,より優れている
289,efficient,形容詞,効率がいい
290,fundamental,形容詞,基本的な
291,narrow,形容詞,狭い
292,reasonable,形容詞,"理にかなった
＜値段が＞手頃な"
293,nervous,形容詞,神経質な、不安な
294,alike,動詞,似ている
295,domestic,形容詞,"家庭の
国内の"
296,negative,形容詞,否定の
297,moral,形容詞,道徳的な
298,eager,動詞,熱望している
299,remarkable,形容詞,素晴らしい
300,evil,形容詞,（道徳的に）悪い
301,awake,形容詞,目を覚まして
302,aged,形容詞,年老いた
303,anxious,形容詞,"（未知のことを）心配して
切望して"
304,tough,形容詞,"たくましい
骨の折れる"
305,nuclear,形容詞,核の、原子力の
306,legal,形容詞,合法の、法律の
307,curious,形容詞,好奇心が強い
308,civil,名詞,一般市民
309,recent,形容詞,最近の
310,senior,形容詞,＜役職などが＞上級の；先輩の
311,afterward,副詞,その後
312,nearly,副詞,ほとんど
313,therefore,副詞,それゆえに
314,exactly,副詞,正確に
315,possibly,副詞,"ひょっとすると
どうしてもVできない"
316,contrary,形容詞,反対に
317,occasionally,副詞,時々
318,somehow,副詞,どういうわけか、なぜか
319,seldom,形容詞,めったに～ない
320,thus,副詞,"それゆえ
そのように"
321,throughout,前置詞,＜場所＞のいたる所に
322,unlike,形容詞,～と違って
323,besides,前置詞,～に加えて
324,beyond,前置詞,"～の向こうに
～できる範囲をこえて"
325,within,前置詞,＜時間・距離＞以内で
326,nor,接続詞,～もない
327,unless,接続詞,～しない限り
328,except,前置詞,～を除いて
329,ought,助動詞,＜人は＞Vすべきである
330,in spite of,名詞,～にもかかわらず
331,whether,接続詞,"～かどうか
～であろうと"
332,explain why ~,動詞,～を説明する
333,accept ~,動詞,～を受け入れる
334,produce ~,動詞,～を生産する
335,exist,動詞,存在する
336,express ~,動詞,～を表現する
337,add - to ~,動詞,～にーを加える
338,avoid Ving,動詞,避ける
339,marry ~,動詞,～と結婚する
340,protect - from ~,動詞,～からーを守る
341,affect ~,動詞,～に影響する
342,determine ~,動詞,～を決定する
343,solve ~,動詞,～を解決する
344,contain ~,動詞,～を含んでいる
345,discuss ~,動詞,～を議論する
346,ignore ~,動詞,～を無視する
347,guess ~,動詞,～を推測する
348,exchange - for ~,動詞,ーを～に交換する
349,satisfy ~,動詞,～を満たす
350,complain about,動詞,苦情を言う
351,achieve ~,動詞,～達成する
352,enable - to ~,動詞,～を可能にする
353,intend to,動詞,つもりだ
354,obtain ~,動詞,～を得る
355,divide - into ~,動詞,ーを～に分割する
356,annoy ~,動詞,～をいらだたせる
357,differ from,動詞,異なる
358,educate ~,動詞,～を教育する
359,borrow - from ~,動詞,～を借りる
360,invent ~,動詞,～を発明する
361,promote ~,動詞,～を促進する
362,advise - to ~,動詞,～するようーに忠告する
363,retire from,動詞,辞める
364,permit - to ~,動詞,ーに～することを許す
365,recommend - to ~,動詞,～にーを勧める
366,apologize to - for ~,動詞,ーに～のことで謝る
367,inform - of ~,動詞,ーに～のことを知らせる
368,oppose ~,動詞,～に反対する
369,trust ~,動詞,～を信用する
370,select ~,動詞,～を選ぶ
371,praise - for ~,動詞,～をほめる
372,handle ~,動詞,～に対処する
373,propose ~,動詞,～を提案する
374,breathe ~,動詞,～を呼吸する
375,criticize - for ~,動詞,～のことでーを非難する
376,overcome ~,動詞,～に打ち勝つ
377,possess ~,動詞,～を持っている
378,predict ~,動詞,～を予言する
379,publish ~,動詞,～を出版する
380,floating,動詞,浮かぶ
381,recall ~,動詞,～を思い出す
382,explore ~,動詞,～を探検する
383,pretend to,動詞,ふりをする
384,absorb ~,動詞,～を吸収する
385,resemble ~,動詞,～に似ている
386,tear ~,動詞,～を引き裂く
387,consume ~,動詞,～を消費する
388,compete with - for ~,動詞,～を目指してーと競争する
389,quit Ving,動詞,辞める
390,announce ~,動詞,～を発表する
391,react,動詞,反応する
392,wander,動詞,歩き回る
393,text,動詞,メールを送る
394,generate ~,動詞,～を生み出す
395,score ~,動詞,～を取る
396,government,名詞,政府
397,knowledge,名詞,知識
398,nation,名詞,国
399,effort,名詞,努力
400,period,名詞,時代
401,population,名詞,人口
402,purpose,名詞,目的
403,behavior,名詞,行動
404,lack,名詞,不足
405,skill,名詞,技術
406,quality,名詞,質
407,environment,名詞,環境
408,role,名詞,役割
409,attitude,名詞,態度
410,author,名詞,筆者
411,research,名詞,研究
412,opportunity,名詞,機会
413,source,名詞,源
414,carbon,名詞,炭素
415,shape,名詞,形
416,advantage,名詞,利点
417,method,名詞,方法
418,habit,名詞,習慣
419,detail,名詞,細部
420,distance,名詞,距離
421,crowd,名詞,群衆
422,instance,名詞,例
423,desire,名詞,願望
424,standard,名詞,水準
425,task,名詞,仕事
426,generation,名詞,世代
427,responsibility,名詞,責任
428,experiment,名詞,実験
429,athlete,名詞,運動選手
430,decade,名詞,10年
431,loss,名詞,損失
432,fever,名詞,熱
433,theory,名詞,理論
434,statement,名詞,記述
435,professor,名詞,教授
436,function,名詞,機能
437,surface,名詞,表面
438,envelope,名詞,封筒
439,organization,名詞,組織
440,policy,名詞,政策
441,resource,名詞,資源
442,contrast,名詞,対比
443,flood,名詞,洪水
444,mate,形容詞,連れ合い
445,goods,名詞,商品
446,creature,名詞,動物
447,structure,名詞,構造
448,tradition,名詞,伝統
449,weight,名詞,体重
450,charity,名詞,慈悲
451,citizen,名詞,市民
452,impression,名詞,印象
453,cartoon,名詞,マンガ
454,career,名詞,経歴
455,site,名詞,用地、場所
456,passenger,名詞,乗客
457,violence,名詞,暴力
458,income,名詞,所得
459,temperature,名詞,気温
460,majority,名詞,大多数
461,origin,名詞,起源
462,literature,名詞,文学
463,equipment,名詞,設備
464,stranger,名詞,見知らぬ人
465,strength,名詞,強さ
466,planet,名詞,惑星
467,fiction,名詞,小説
468,religion,名詞,宗教
469,pollution,名詞,汚染
470,wealth,名詞,富
471,document,名詞,文書
472,profit,動詞,もうけ
473,technique,名詞,技術
474,emotion,名詞,感情
475,phenomenon,名詞,現象
476,horror,名詞,恐怖
477,ladder,名詞,はしご
478,billion,名詞,十億
479,status,名詞,地位
480,youth,名詞,若者
481,confidence,名詞,自身
482,edge,名詞,周辺
483,household,名詞,家庭
484,scholar,名詞,学者
485,survey,名詞,調査
486,vocabulary,名詞,語彙
487,enemy,名詞,敵
488,construction,名詞,建設
489,lecture,名詞,講義
490,instruction,名詞,指示
491,crisis,名詞,危機
492,instrument,名詞,道具
493,crop,名詞,作物
494,weapon,名詞,兵器
495,device,名詞,装置
496,path,名詞,道
497,earthquake,名詞,地震
498,stream,名詞,小川
499,notion,名詞,概念
500,yard,名詞,庭
501,victim,名詞,犠牲者
502,fuel,名詞,燃料
503,ancestor,名詞,祖先
504,soil,名詞,土壌
505,debate,名詞,討論
506,crime,名詞,犯罪
507,colleague,名詞,同僚
508,shelf,名詞,棚
509,analysis,名詞,分析
510,universe,名詞,宇宙
511,electricity,名詞,電気
512,insect,名詞,昆虫
513,web,名詞,巣
514,storm,名詞,嵐
515,plenty,形容詞,十分な
516,agriculture,名詞,産業
517,gene,名詞,遺伝子
518,evidence,名詞,証拠
519,consequence,名詞,結果
520,infant,名詞,幼児
521,leisure,名詞,暇
522,cell,名詞,細胞
523,talent,名詞,才能
524,advertising,名詞,広告
525,extent,名詞,程度
526,garbage,名詞,ゴミ
527,general,名詞,一般
528,various,形容詞,さまざまな
529,similar,動詞,似ている
530,complete,形容詞,完全な
531,sharp,形容詞,急激な
532,expensive,形容詞,高価な
533,political,形容詞,政治的な
534,aware,動詞,気づいている
535,ancient,形容詞,古代の
536,medical,名詞,医学の
537,essential,名詞,不可欠だ
538,huge,形容詞,巨大な
539,terrible,形容詞,ひどい
540,practical,形容詞,実用的な
541,entire,名詞,全
542,favorite,形容詞,一番好きな
543,comfortable,形容詞,快適な
544,minor,形容詞,小さい
545,typical,形容詞,古典的な
546,ideal,形容詞,理想的な
547,principal,形容詞,主要な
548,appropriate,形容詞,適切な
549,empty,形容詞,からの
550,rapid,形容詞,急速な
551,mental,形容詞,精神の
552,excellent,形容詞,すばらしい
553,convenient,形容詞,都合がいい
554,potential,形容詞,潜在的な
555,financial,名詞,財政的
556,enormous,形容詞,莫大な
557,rare,形容詞,珍しい
558,artificial,名詞,人口
559,tiny,形容詞,ちっちゃな
560,considerable,形容詞,かなりの
561,sensitive,形容詞,敏感だ
562,intellectual,名詞,知的
563,thirsty,形容詞,のどが渇く
564,polite,形容詞,礼儀正しい
565,accurate,形容詞,正確な
566,rude,形容詞,失礼な
567,sufficient,形容詞,十分な
568,urban,形容詞,都会の
569,temporary,形容詞,一時的な
570,primitive,形容詞,原始的な
571,permanent,名詞,永久
572,elderly,名詞,高齢
573,severe,形容詞,厳しい
574,brief,形容詞,簡潔な
575,mobile,形容詞,流動的な
576,latest,形容詞,最新の
577,military,名詞,軍事的
578,strict,形容詞,厳しい
579,solid,形容詞,固体の
580,stupid,形容詞,ばかな
581,biological,名詞,生物
582,probably,副詞,おそらく
583,hardly,副詞,ほとんど～ない
584,immediately,副詞,すぐに
585,eventually,副詞,ついに
586,frequently,副詞,しばしば
587,extremely,副詞,非常に
588,gradually,副詞,だんだん
589,instantly,副詞,すぐに
590,nevertheless,副詞,それにもかかわらず
591,moreover,副詞,そのうえ
592,relatively,副詞,比較的
593,apparently,副詞,一見
594,definitely,副詞,絶対
595,largely,副詞,主に
596,mostly,副詞,大部分は
597,approximately,副詞,およそ
598,overnight,名詞,一晩
599,accidentally,副詞,偶然
600,despite,前置詞,にもかかわらず
601,proceed,動詞,進む
602,ensure,動詞,～を確実にする
603,interpret,動詞,～を解釈する
604,cease,動詞,Vしなくなる
605,ban,動詞,（公式に）～を禁止する
606,obey,動詞,～に従う
607,eliminate,動詞,＜不要なもの＞を除去する
608,resist,動詞,～に抵抗する
609,accompany,動詞,＜人＞に同伴する
610,commit,動詞,"＜罪など＞を犯す
～を委ねる、委任する
＜本気で＞取り組む"
611,pursue,動詞,～を追求する
612,demonstrate,動詞,"＜証拠などが＞～を明らかに示す
証明する"
613,bet,動詞,きっと～だと思う
614,ruin,動詞,～を台無しにする、破滅させる
615,threaten,動詞,～を脅迫する
616,attach,動詞,AをBにくっつける
617,reverse,動詞,～を反対にする、逆転する
618,restrict,動詞,～を制限する
619,compose,動詞,～を組み立てる
620,lean,動詞,寄りかかる、もたれる
621,substitute,動詞,～を代わりに用いる
622,trace,動詞,～の跡をたどる
623,interrupt,動詞,～を妨げる
624,confront,動詞,"＜障害などが＞＜人＞の前に立ちふさがる
＜人が＞＜障害など＞に立ち向かう"
625,illustrate,動詞,～を（例で）示す
626,arrest,動詞,～を逮捕する
627,stimulate,動詞,～を刺激する
628,assure,動詞,（～を）保証する
629,consult,動詞,"＜専門家・医師など＞に相談する
＜辞書など＞を参照する"
630,depress,動詞,～を憂鬱にさせる
631,crash,動詞,激突する
632,inspire,動詞,＜人＞を奮起させる、やる気にさせる
633,specialize,動詞,Aを専門にする、専攻する
634,cultivate,動詞,"＜植物＞を栽培する
＜感情・能力など＞をはぐくむ"
635,fulfill,動詞,＜約束・夢など＞を果たす
636,transmit,動詞,～を送る、伝える
637,found,動詞,～を創立する、設立する
638,clap,動詞,＜手など＞をたたく
639,burst,動詞,"破裂する
突然～しだす"
640,bow,動詞,お辞儀する
641,dismiss,動詞,"＜考えなど＞を無視する
＜人＞を解雇する、解散させる"
642,breed,動詞,～を繁殖させる、繁殖する
643,prohibit,動詞,＜法・団体が＞～を禁じる
644,oblige,動詞,～に強いる
645,qualify,動詞,Aに適任である
646,invest,動詞,（＜金＞を）投資する
647,grasp,動詞,～を理解する
648,collapse,動詞,崩壊する
649,overlook,動詞,"～を見落とす、見逃す
～を見渡す"
650,accuse,動詞,"～を非難する
～を告訴する"
651,frustrate,動詞,＜人＞を欲求不満にさせる
652,deprive,動詞,AからB（機会・自由・睡眠など）を奪う
653,astonish,動詞,～を驚嘆させる
654,register,動詞,～を登録する
655,correspond,動詞,"一致する
連絡しあう"
656,cast,動詞,～を投げる、＜疑い・目など＞を向ける
657,attribute,動詞,"A（結果）はB（原因）のおかげだと思う
A（性質）がB（人）にあると思う
Aの作品だと考えられる"
658,neglect,動詞,"～を無視する、怠る
＜子供など＞の世話をしない"
659,starve,動詞,飢える
660,resolve,動詞,＜問題など＞を解決する
661,impose,動詞,AをBに課す、押し付ける
662,convert,動詞,～を転換する
663,scare,動詞,～を怯えさせる
664,constitute,動詞,"～を構成する、占める
～である"
665,appoint,動詞,～を任命する
666,imply,動詞,～を（暗に）意味する
667,assign,動詞,＜仕事・物＞を割り当てる
668,nod,動詞,うなずく
669,elect,動詞,"～を選挙で選ぶ
（～すること）を選ぶ"
670,transfer,動詞,～を移す；転勤する
671,rob,動詞,AからBを奪う
672,capture,動詞,～を捕らえる
673,undertake,動詞,"＜仕事など＞を引き受ける
～に取り掛かる、～を始める"
674,drown,動詞,おぼれ死ぬ
675,split,動詞,～を割る；分裂する
676,resort,動詞,A（手段）に訴える
677,descend,動詞,"下る、降りる
（祖先から）伝わる"
678,irritate,動詞,～をいらだたせる
679,pronounce,動詞,＜単語など＞を発音する
680,equip,動詞,～を装備させる
681,cheat,動詞,いかさまする
682,emerge,動詞,＜隠れていたものが＞現れる
683,devote,動詞,～をささげる
684,heal,動詞,＜けがなど＞を治す；治る
685,urge,動詞,～に強く迫る、～を説得する
686,envy,動詞,～をうらやむ
687,chase,動詞,～を追いかける
688,prompt,動詞,～を促す
689,withdraw,動詞,"～を引っ込める
引きこもる、退く
＜預金など＞を引き出す"
690,detect,動詞,"～を探知する
＜誤り、病気など＞を発見する"
691,interfere,動詞,Aを邪魔する
692,kid,動詞,冗談を言う、からかう
693,launch,動詞,"＜ロケットなど＞を打ち上げる
＜事業など＞を始める"
694,endanger,動詞,～を危険にさらす
695,foster,動詞,～を促進する、育成する
696,diminish,動詞,減少する、衰える；～を減らす
697,spill,動詞,～をこぼす
698,infect,動詞,＜人＞に感染する、＜人＞にうつす
699,stem,動詞,Aから生じる、Aに由来する
700,tap,動詞,"～を軽くたたく
～を開発する"
701,embrace,動詞,"＜思想など＞を受け入れる
～を含む"
702,proportion,名詞,比率
703,contract,名詞,契約
704,chest,名詞,"胸
箱"
705,treasure,名詞,財宝
706,stock,名詞,"株（式）
在庫品、貯蔵品"
707,facility,名詞,"①設備、施設
②能力、器用さ"
708,sum,名詞,①金額   ②合計　③要約
709,rank,動詞,地位、階級／（動）位置する、（上位を）占める；〜を評価する、順位をつける
710,democracy,名詞,民主主義、民主制；民主国家
711,emergency,名詞,緊急事態／（形）非常の、救急の
712,protest,動詞,抗議／（動）抗議する
713,immigrant,名詞,（外国からの）移民
714,vehicle,名詞,①車、乗り物　②（伝達）手段、媒体
715,routine,形容詞,決まりきった仕事、日課／（形）決まりきった、型どおりの
716,stuff,動詞,（漠然と）物、こと、材料／（動）〜を詰め込む
717,row,動詞,列、並び／（動）（ボートを）こぐ
718,profile,名詞,プロフィール、人物紹介；横顔
719,dawn,動詞,夜明け；始まり／（動）わかりはじめる；始まる
720,welfare,名詞,福祉、幸福；生活保護
721,perspective,名詞,①見方；正しい見方、大局的な見方　②遠近法
722,enthusiasm,名詞,熱意、情熱、熱中
723,faith,名詞,①信頼　②信仰
724,occupation,名詞,①職業　②占領、占拠
725,witness,動詞,証人、目撃者／（動）〜を目撃する
726,kingdom,名詞,①王国　②（学問などの）世界、領域
727,equivalent,形容詞,"同等のもの、相当するもの（＋of,to）／（形）同等の（＝equal）"
728,objective,形容詞,目的、目標／（形）客観的な
729,pile,動詞,①積み重ね　②（a pile of A / piles of A）たくさんのA／（動）〜を重ねる、〜を積む
730,shelter,動詞,避難(所)、避難する、～を保護する
731,trial,名詞,①試み、試し ②裁判
732,honor,動詞,名誉、光栄、～を尊敬する、～に栄誉を授ける
733,territory,名詞,①領土、なわ張り ②地域、領域
734,frame,動詞,わく、額縁、骨組み、～をわくにはめる、～を組み立てる
735,border,動詞,国境地帯、境界、(～に)接する
736,statistics,名詞,統計(学)、統計の数字
737,enterprise,名詞,企業、事業、企て
738,context,名詞,"①文脈
②(文化・社会的な)状況、背景(=situation)"
739,load,動詞,荷物、積み荷、重荷、負担、(荷など)を積む、詰め込む
740,grain,名詞,①穀物 ②粒、少量
741,review,動詞,"①再検討、入念な調査、批評
②復習、～を批評する、～を復習する"
742,prejudice,名詞,偏見、先入観
743,strain,動詞,負担、重圧、緊張、～に無理な負担をかける、酷使する
744,trap,動詞,わな、計略、閉じ込められる、～をわなにかける
745,temper,名詞,①気性、気分(=mood) ②平静な気分、短気
746,slave,名詞,奴隷
747,wound,動詞,傷、けが、～を傷つける
748,divorce,動詞,離婚(⇔marriage)、～と離婚する、～を切り離す(=separate)
749,tune,動詞,曲、メロディー、(番組に)チャンネルを合わせる、～を調和させる
750,height,名詞,高さ、高地、最盛期、絶頂期
